name,url,price
Apple iPhone 12 128GB,https://m.ua/ua/desc/apple-iphone-12-128gb/,19858
Apple iPhone 11 64GB,https://m.ua/ua/desc/apple-iphone-11-64gb/,13840
Apple iPhone 11 128GB,https://m.ua/ua/desc/apple-iphone-11-128gb/,16047
Apple iPhone 12 64GB,https://m.ua/ua/desc/apple-iphone-12-64gb/,16849
Apple iPhone SE 2020 64GB,https://m.ua/ua/desc/apple-iphone-se-2020-64gb/,8028
Apple iPhone 12 mini 64GB,https://m.ua/ua/desc/apple-iphone-12-mini-64gb/,14643
Apple iPhone Xr 64GB,https://m.ua/ua/desc/apple-iphone-xr-64gb/,9528
Apple iPhone 11 Pro 64GB,https://m.ua/ua/desc/apple-iphone-11-pro-64gb/,15746
Apple iPhone 11 Pro 256GB,https://m.ua/ua/desc/apple-iphone-11-pro-256gb/,18354
Apple iPhone Xr 128GB,https://m.ua/ua/desc/apple-iphone-xr-128gb/,11734
Apple iPhone 12 mini 128GB,https://m.ua/ua/desc/apple-iphone-12-mini-128gb/,17251
Apple iPhone Xs 64GB,https://m.ua/ua/desc/apple-iphone-xs-64gb/,10430
Apple iPhone Xs 256GB,https://m.ua/ua/desc/apple-iphone-xs-256gb/,12135
Apple iPhone Xs Max 256GB,https://m.ua/ua/desc/apple-iphone-xs-max-256gb/,12335
Apple iPhone 11 Pro Max 64GB,https://m.ua/ua/desc/apple-iphone-11-pro-max-64gb/,19156
Apple iPhone SE 2022 64GB,https://m.ua/ua/desc/apple-iphone-se-2022-64gb/,14884
Apple iPhone SE 2020 128GB,https://m.ua/ua/desc/apple-iphone-se-2020-128gb/,10222
Apple iPhone SE 2022 128GB,https://m.ua/ua/desc/apple-iphone-se-2022-128gb/,19299
Apple iPhone 11 256GB,https://m.ua/ua/desc/apple-iphone-11-256gb/,19233
Apple iPhone Xs Max 64GB,https://m.ua/ua/desc/apple-iphone-xs-max-64gb/,12335
Apple iPhone SE 2022 256GB,https://m.ua/ua/desc/apple-iphone-se-2022-256gb/,19267
Apple iPhone Xr Dual 128GB,https://m.ua/ua/desc/apple-iphone-xr-dual-128gb/,16602
Apple iPhone Xr 256GB,https://m.ua/ua/desc/apple-iphone-xr-256gb/,15497
Apple iPhone Xs 512GB,https://m.ua/ua/desc/apple-iphone-xs-512gb/,16500
Apple iPhone Xs Max 512GB,https://m.ua/ua/desc/apple-iphone-xs-max-512gb/,19500
Apple iPhone SE 2020 256GB,https://m.ua/ua/desc/apple-iphone-se-2020-256gb/,17683
